"","gelir","egitim","skaler1","skaler2","skaler3","skaler4","skaler5","skaler6","grup1_ikili","grup2_ikili","grup3_ikili","grup4_ikili","grup1_uclu","grup2_uclu","grup3_uclu","grup4_uclu"
"1",89.484,"3",46.809,84.639,99.725,95.715,53.128,39.637,"1","1","1","1","3","1","3","2"
"2",88.375,"3",19.495,79.556,91.81,99.664,55.796,37.988,"1","1","2","2","3","1","2","2"
"3",48.279,"2",42.394,94.57,92.01,99.795,35.809,38.026,"2","1","1","2","2","3","2","2"
"4",85.346,"3",79.367,92.141,96.936,97.04,49.357,38.67,"1","1","1","1","3","2","2","2"
"5",84.73,"3",91.072,90.409,90.696,99.394,56.543,39.927,"2","1","1","2","3","3","2","3"
"6",84.118,"3",99.305,95.592,98.681,99.148,41.403,41.262,"2","1","1","1","2","2","2","3"
"7",12.409,"1",17.225,78.648,96.925,99.397,62.681,40.879,"2","2","2","1","2","2","2","2"
"8",25.161,"1",38.786,97.369,95.896,99.803,75.42,36.317,"2","1","1","1","3","2","1","3"
"9",87.575,"3",99.736,91.731,97.26,98.489,77.83,40.249,"1","2","1","1","3","2","1","2"
"10",21.538,"1",30.085,88.491,97.848,98.684,66.807,38.215,"2","1","1","1","2","3","2","1"
"11",48.211,"2",92.292,79.203,79.09,97.116,63.549,36.404,"2","2","1","1","3","3","2","2"
"12",32.358,"2",61.864,51.916,98.177,99.541,65.625,39.308,"1","1","1","1","3","2","3","1"
"13",41.776,"2",71.33,84.524,94.265,98.625,37.078,40.803,"1","1","2","1","3","2","2","1"
"14",75.747,"3",68.131,90.895,87.19,94.795,50.157,42.902,"1","2","2","1","3","1","1","2"
"15",22.94,"1",94.6,97.268,95.326,96.586,78.993,41.115,"1","2","1","1","3","2","2","1"
"16",52.376,"2",70.216,83.279,96.124,98.12,48.627,38.173,"2","1","2","2","3","1","1","2"
"17",11.355,"1",99.318,93.117,72.98,99.428,41.155,44.393,"1","2","1","1","3","3","2","1"
"18",80.083,"3",98.352,86.854,95.232,97.914,48.699,40.407,"1","1","1","1","3","1","3","1"
"19",13.851,"1",94.113,94.412,96.72,98.896,35.17,40.012,"1","1","1","1","3","1","2","2"
"20",52.8,"2",93.546,67.412,98.791,99.356,30.129,38.995,"1","2","2","1","3","3","2","1"
"21",78.935,"3",57.551,66.822,93.269,98.043,54.601,39.545,"1","1","1","1","2","1","1","2"
"22",50.476,"2",61.213,88.588,92.407,97.753,33.867,40.175,"1","1","1","1","2","2","2","1"
"23",22.145,"1",99.891,80.316,98.968,99.72,31.881,39.568,"1","1","2","1","1","1","2","2"
"24",50.245,"2",89.009,81.393,98.126,99.485,83.319,39.344,"2","1","1","1","1","3","2","1"
"25",67.673,"3",67.254,76.89,98.591,97.557,44.581,40.091,"1","2","2","2","3","2","2","2"
"26",39.84,"2",76.684,90.651,97.094,99.902,41.042,38.672,"2","1","1","1","2","2","2","2"
"27",54.401,"2",90.603,40.386,94.565,99.871,69.016,40.39,"1","2","2","1","3","3","3","1"
"28",38.845,"2",45.156,98.814,91.866,99.728,56.689,40.699,"2","1","1","2","2","3","1","2"
"29",49.026,"2",46.653,79.269,94.905,99.627,41.341,42.243,"1","1","1","1","2","3","3","2"
